Entity Name,Aggregator Internal Id,Aggregator Name,AggregatorCode,MID,Merchant Internal Id,Merchant Name,SID,Merchant Store Internal Id,CMM Merchant Store Internal Id,Merchant Store Legal Name,Store Name,TerminalID,ARN,RRN Number,CardNumber,Auth Code,Payment Date,Transaction Date,BatchNumber,Transaction Type,CardScheme,Card Type,DCC,Txn Currency,Txn Currency Amount,Store Base Currency,Store Base Currency Amount,MSF,VAT,Total Amount Settled,Interchange Fee,Destination
ACQ,101,Test Aggregator,AGG001,12345001,201,Test Merchant 01,SID001,301,CMM301,Test Merchant 01 LLC,Test Merchant 01 - Dubai,TID0011,ARN1000000,200000000000,4957********0024,A3948011,21-11-2025 15:46,20-11-2025 21:22,B20251120,SALE,VISA,DEBIT,N,AED,37.755,AED,37.755,0.566,0.028,37.161,0.378,DOMESTIC
ACQ,101,Test Aggregator,AGG001,12345001,201,Test Merchant 01,SID001,301,CMM301,Test Merchant 01 LLC,Test Merchant 01 - Dubai,TID0012,ARN1000001,200000000000,5595********8764,A9877241,20-12-2025 04:00,20-12-2025 01:00,B20251220,SALE,MASTERCARD,DEBIT,N,AED,163.603,AED,163.603,2.454,0,161.149,1.8,DOMESTIC
ACQ,101,Test Aggregator,AGG001,12345002,202,Test Merchant 02,SID002,302,CMM302,Test Merchant 02 LLC,Test Merchant 02 - Dubai,TID0021,ARN1000002,200000000000,3480********3022,A0406645,03-03-2025 04:33,02-03-2025 17:30,B20250302,SALE,AMEX,DEBIT,N,BHD,190.003,AED,1852.529,27.788,1.389,1823.352,24.083,DOMESTIC
ACQ,101,Test Aggregator,AGG001,12345002,202,Test Merchant 02,SID002,302,CMM302,Test Merchant 02 LLC,Test Merchant 02 - Dubai,TID0022,ARN1000003,200000000000,4054********4696,A3360429,14-12-2024 16:36,14-12-2024 01:18,B20241214,SALE,VISA,CREDIT,N,AED,171.503,AED,171.503,2.573,0,168.93,1.715,DOMESTIC
ACQ,101,Test Aggregator,AGG001,12345003,203,Test Merchant 03,SID003,303,CMM303,Test Merchant 03 LLC,Test Merchant 03 - Manama,TID0031,ARN1000004,200000000000,5311********9235,A4741315,07-12-2025 19:20,07-12-2025 11:26,B20251207,SALE,MASTERCARD,CREDIT,N,OMR,561.511,AED,5362.43,80.436,4.022,5277.972,58.987,DOMESTIC
ACQ,101,Test Aggregator,AGG001,12345003,203,Test Merchant 03,SID003,303,CMM303,Test Merchant 03 LLC,Test Merchant 03 - Manama,TID0032,ARN1000005,200000000000,3727********0624,A9123695,21-08-2025 12:48,21-08-2025 06:11,B20250821,SALE,AMEX,CREDIT,N,OMR,798.31,AED,7623.86,114.358,5.718,7503.784,99.11,DOMESTIC
ACQ,101,Test Aggregator,AGG001,12345004,204,Test Merchant 04,SID004,304,CMM304,Test Merchant 04 LLC,Test Merchant 04 - Manama,TID0041,ARN1000006,200000000000,4957********7485,A2187241,15-04-2025 02:44,14-04-2025 08:20,B20250414,SALE,VISA,PREPAID,N,OMR,442.956,AED,4230.23,63.453,3.173,4163.604,42.302,DOMESTIC
ACQ,101,Test Aggregator,AGG001,12345004,204,Test Merchant 04,SID004,304,CMM304,Test Merchant 04 LLC,Test Merchant 04 - Manama,TID0042,ARN1000007,200000000000,5171********1740,A3361194,07-09-2025 05:39,06-09-2025 22:40,B20250906,SALE,MASTERCARD,PREPAID,N,BHD,34.028,AED,331.773,4.977,0,326.796,3.65,DOMESTIC
ACQ,101,Test Aggregator,AGG001,12345005,205,Test Merchant 05,SID005,305,CMM305,Test Merchant 05 LLC,Test Merchant 05 - Dubai,TID0051,ARN1000008,200000000000,3419********4377,A4766723,24-01-2025 06:05,23-01-2025 09:02,B20250123,SALE,AMEX,PREPAID,N,OMR,715.987,AED,6837.676,102.565,5.128,6729.983,88.89,DOMESTIC
ACQ,101,Test Aggregator,AGG001,12345005,205,Test Merchant 05,SID005,305,CMM305,Test Merchant 05 LLC,Test Merchant 05 - Dubai,TID0052,ARN1000009,200000000000,4255********0915,A0017971,16-08-2025 00:52,15-08-2025 05:59,B20250815,REFUND,VISA,DEBIT,N,AED,1722.44,AED,1722.44,12.057,0.603,1709.78,8.612,DOMESTIC
