Entity Name,Aggregator Internal Id,Aggregator Name,AggregatorCode,MID,Merchant Internal Id,Merchant Name,SID,Merchant Store Internal Id,CMM Merchant Store Internal Id,Merchant Store Legal Name,Store Name,TerminalID,ARN,RRN Number,CardNumber,Auth Code,Payment Date,Transaction Date,BatchNumber,Transaction Type,CardScheme,Card Type,DCC,Txn Currency,Txn Currency Amount,Store Base Currency,Store Base Currency Amount,MSF,VAT,Total Amount Settled,Interchange Fee,Destination
Acquira,101,Test Aggregator,AGG001,12345001,201,Test Merchant 01,SID001,301,CMM301,Test Merchant 01 LLC,Test Merchant 01 - Dubai,TID0011,ARN3000000,400000000000,4922********9429,A6936624,2025-03-03 16:24:11,2025-03-03 03:23:11,B20250303,SALE,VISA,DEBIT,N,BHD,370.15,AED,3608.962,54.134,0.0,3554.828,36.09,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345001,201,Test Merchant 01,SID001,301,CMM301,Test Merchant 01 LLC,Test Merchant 01 - Dubai,TID0012,ARN3000001,400000000001,5427********9378,A3014133,2025-09-20 16:59:23,2025-09-20 13:08:23,B20250920,SALE,MASTERCARD,DEBIT,N,AED,1053.977,AED,1053.977,15.81,0.0,1038.167,11.594,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345002,202,Test Merchant 02,SID002,302,CMM302,Test Merchant 02 LLC,Test Merchant 02 - Dubai,TID0021,ARN3000002,400000000002,3707********3982,A9369317,2025-06-15 10:46:11,2025-06-14 13:07:11,B20250614,SALE,AMEX,DEBIT,N,OMR,217.339,AED,2075.587,31.134,1.557,2042.896,26.983,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345002,202,Test Merchant 02,SID002,302,CMM302,Test Merchant 02 LLC,Test Merchant 02 - Dubai,TID0022,ARN3000003,400000000003,4766********8583,A4157495,2026-08-01 06:13:38,2026-07-31 23:13:38,B20260731,SALE,VISA,CREDIT,N,AED,1695.216,AED,1695.216,25.428,1.271,1668.517,16.952,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345003,203,Test Merchant 03,SID003,303,CMM303,Test Merchant 03 LLC,Test Merchant 03 - Manama,TID0031,ARN3000004,400000000004,5235********8481,A0998811,2025-10-25 15:32:08,2025-10-24 18:40:08,B20251024,SALE,MASTERCARD,CREDIT,N,OMR,489.511,AED,4674.83,70.122,0.0,4604.708,51.423,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345003,203,Test Merchant 03,SID003,303,CMM303,Test Merchant 03 LLC,Test Merchant 03 - Manama,TID0032,ARN3000005,400000000005,3729********0127,A7106395,2025-03-31 11:18:08,2025-03-31 06:26:08,B20250331,SALE,AMEX,CREDIT,N,OMR,172.012,AED,1642.715,24.641,0.0,1618.074,21.355,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345004,204,Test Merchant 04,SID004,304,CMM304,Test Merchant 04 LLC,Test Merchant 04 - Manama,TID0041,ARN3000006,400000000006,4185********8960,A1506126,2026-08-21 03:47:43,2026-08-20 17:30:43,B20260820,SALE,VISA,PREPAID,N,BHD,55.985,AED,545.854,8.188,0.0,537.666,5.459,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345004,204,Test Merchant 04,SID004,304,CMM304,Test Merchant 04 LLC,Test Merchant 04 - Manama,TID0042,ARN3000007,400000000007,5326********5615,A1601330,2025-11-01 14:57:11,2025-11-01 01:05:11,B20251101,SALE,MASTERCARD,PREPAID,N,AED,1514.502,AED,1514.502,22.718,1.136,1490.648,16.66,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345005,205,Test Merchant 05,SID005,305,CMM305,Test Merchant 05 LLC,Test Merchant 05 - Dubai,TID0051,ARN3000008,400000000008,3461********2056,A1078982,2025-09-22 05:10:21,2025-09-22 02:33:21,B20250922,SALE,AMEX,PREPAID,N,AED,1920.526,AED,1920.526,28.808,0.0,1891.718,24.967,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345005,205,Test Merchant 05,SID005,305,CMM305,Test Merchant 05 LLC,Test Merchant 05 - Dubai,TID0052,ARN3000009,400000000009,4629********6535,A3196312,2026-02-25 19:13:36,2026-02-25 07:46:36,B20260225,REFUND,VISA,DEBIT,N,BHD,530.004,AED,5167.539,36.173,1.809,5129.557,25.838,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345006,206,Test Merchant 06,SID006,306,CMM306,Test Merchant 06 LLC,Test Merchant 06 - Manama,TID0061,ARN3000010,400000000010,5493********7708,A9510916,2025-01-17 22:49:45,2025-01-17 19:39:45,B20250117,REFUND,MASTERCARD,DEBIT,N,OMR,123.065,AED,1175.271,8.227,0.411,1166.633,6.464,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345006,206,Test Merchant 06,SID006,306,CMM306,Test Merchant 06 LLC,Test Merchant 06 - Manama,TID0062,ARN3000011,400000000011,3706********8601,A8384396,2026-06-15 10:08:46,2026-06-15 08:04:46,B20260615,REFUND,AMEX,DEBIT,N,AED,1126.992,AED,1126.992,7.889,0.0,1119.103,7.325,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345007,207,Test Merchant 07,SID007,307,CMM307,Test Merchant 07 LLC,Test Merchant 07 - Muscat,TID0071,ARN3000012,400000000012,4179********1437,A9656827,2026-04-23 13:28:40,2026-04-22 18:04:40,B20260422,REFUND,VISA,CREDIT,N,OMR,588.195,AED,5617.262,39.321,0.0,5577.941,28.086,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345007,207,Test Merchant 07,SID007,307,CMM307,Test Merchant 07 LLC,Test Merchant 07 - Muscat,TID0072,ARN3000013,400000000013,5175********4355,A3743573,2025-10-11 06:55:56,2025-10-10 16:10:56,B20251010,REFUND,MASTERCARD,CREDIT,N,AED,674.269,AED,674.269,4.72,0.0,669.549,3.708,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345008,208,Test Merchant 08,SID008,308,CMM308,Test Merchant 08 LLC,Test Merchant 08 - Dubai,TID0081,ARN3000014,400000000014,3419********4447,A1713109,2026-10-27 06:13:16,2026-10-26 18:38:16,B20261026,REFUND,AMEX,CREDIT,N,OMR,473.601,AED,4522.89,31.66,0.0,4491.23,29.399,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345008,208,Test Merchant 08,SID008,308,CMM308,Test Merchant 08 LLC,Test Merchant 08 - Dubai,TID0082,ARN3000015,400000000015,4325********7502,A1399651,2026-11-11 06:17:59,2026-11-11 01:17:59,B20261111,REFUND,VISA,PREPAID,N,BHD,685.495,AED,6683.576,46.785,2.339,6634.452,33.418,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345009,209,Test Merchant 09,SID009,309,CMM309,Test Merchant 09 LLC,Test Merchant 09 - Muscat,TID0091,ARN3000016,400000000016,5127********9008,A8229737,2026-11-17 03:12:19,2026-11-16 13:27:19,B20261116,REFUND,MASTERCARD,PREPAID,N,AED,530.462,AED,530.462,3.713,0.0,526.749,2.918,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345009,209,Test Merchant 09,SID009,309,CMM309,Test Merchant 09 LLC,Test Merchant 09 - Muscat,TID0092,ARN3000017,400000000017,3707********7419,A1781490,2025-02-14 22:05:53,2025-02-14 11:30:53,B20250214,REFUND,AMEX,PREPAID,N,AED,1124.103,AED,1124.103,7.869,0.0,1116.234,7.307,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345010,210,Test Merchant 10,SID010,310,CMM310,Test Merchant 10 LLC,Test Merchant 10 - Dubai,TID0101,ARN3000018,400000000018,4149********3501,A0700773,2026-12-12 09:24:59,2026-12-12 02:18:59,B20261212,REVERSAL,VISA,DEBIT,N,AED,666.146,AED,666.146,4.663,0.0,661.483,3.331,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345010,210,Test Merchant 10,SID010,310,CMM310,Test Merchant 10 LLC,Test Merchant 10 - Dubai,TID0102,ARN3000019,400000000019,5350********7016,A5699400,2025-03-22 16:15:27,2025-03-22 07:50:27,B20250322,REVERSAL,MASTERCARD,DEBIT,N,BHD,522.924,AED,5098.509,35.69,1.784,5061.035,28.042,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345011,211,Test Merchant 11,SID011,311,CMM311,Test Merchant 11 LLC,Test Merchant 11 - Dubai,TID0111,ARN3000020,400000000020,3482********4675,A4400713,2026-08-04 02:09:26,2026-08-03 20:35:26,B20260803,REVERSAL,AMEX,DEBIT,N,OMR,704.784,AED,6730.687,47.115,2.356,6681.216,43.749,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345011,211,Test Merchant 11,SID011,311,CMM311,Test Merchant 11 LLC,Test Merchant 11 - Dubai,TID0112,ARN3000021,400000000021,4818********4356,A4450786,2026-07-30 19:20:18,2026-07-30 00:20:18,B20260730,REVERSAL,VISA,CREDIT,N,BHD,525.114,AED,5119.861,35.839,1.792,5082.23,25.599,DOMESTIC
Acquira,101,Test Aggregator,AGG001,12345012,212,Test Merchant 12,SID012,312,CMM312,Test Merchant 12 LLC,Test Merchant 12 - Muscat,TID0121,ARN3000022,400000000022,5427********6608,A7288868,2026-09-03 15:18:58,2026-09-02 16:35:58,B20260902,REVERSAL,MASTERCARD,CREDIT,N,OMR,608.248,AED,5808.768,40.661,0.0,5768.107,31.948,DOMESTIC
