"Entity Name","Aggregator Internal Id","Aggregator Name","AggregatorCode","MID","Merchant Internal Id","Merchant Name","SID","Merchant Store Internal Id","CMM Merchant Store Internal Id","Merchant Store Legal Name","Store Name","TerminalID","ARN","RRN Number","CardNumber","Auth Code","Payment Date","Transaction Date","BatchNumber","Transaction Type","CardScheme","Card Type","DCC","Txn Currency","Txn Currency Amount","Store Base Currency","Store Base Currency Amount","MSF","VAT","Total Amount Settled","Interchange Fee","Destination"
"ACQ","101","Test Aggregator","AGG001","12345001","201","Test Merchant 01","SID001","301","CMM301","Test Merchant 01 LLC","Test Merchant 01 - Dubai","TID0011","ARN1000000","200000000000","4957********0024","A3948011","45982.656944444447","45981.890277777777","B20251120","SALE","VISA","DEBIT","N","AED","37.755000000000003","AED","37.755000000000003","0.56599999999999995","0.028000000000000001","37.161000000000001","0.378","DOMESTIC"
"ACQ","101","Test Aggregator","AGG001","12345001","201","Test Merchant 01","SID001","301","CMM301","Test Merchant 01 LLC","Test Merchant 01 - Dubai","TID0012","ARN1000001","200000000000","5595********8764","A9877241","46011.166666666664","46011.041666666664","B20251220","SALE","MASTERCARD","DEBIT","N","AED","163.60300000000001","AED","163.60300000000001","2.4540000000000002","0","161.149","1.8","DOMESTIC"
"ACQ","101","Test Aggregator","AGG001","12345002","202","Test Merchant 02","SID002","302","CMM302","Test Merchant 02 LLC","Test Merchant 02 - Dubai","TID0021","ARN1000002","200000000000","3480********3022","A0406645","45719.189583333333","45718.729166666664","B20250302","SALE","AMEX","DEBIT","N","BHD","190.00299999999999","AED","1852.529","27.788","1.389","1823.3520000000001","24.082999999999998","DOMESTIC"
"ACQ","101","Test Aggregator","AGG001","12345002","202","Test Merchant 02","SID002","302","CMM302","Test Merchant 02 LLC","Test Merchant 02 - Dubai","TID0022","ARN1000003","200000000000","4054********4696","A3360429","45640.691666666666","45640.054166666669","B20241214","SALE","VISA","CREDIT","N","AED","171.50299999999999","AED","171.50299999999999","2.573","0","168.93","1.7150000000000001","DOMESTIC"
"ACQ","101","Test Aggregator","AGG001","12345003","203","Test Merchant 03","SID003","303","CMM303","Test Merchant 03 LLC","Test Merchant 03 - Manama","TID0031","ARN1000004","200000000000","5311********9235","A4741315","45998.805555555555","45998.476388888892","B20251207","SALE","MASTERCARD","CREDIT","N","OMR","561.51099999999997","AED","5362.43","80.436000000000007","4.0220000000000002","5277.9719999999998","58.987000000000002","DOMESTIC"
"ACQ","101","Test Aggregator","AGG001","12345003","203","Test Merchant 03","SID003","303","CMM303","Test Merchant 03 LLC","Test Merchant 03 - Manama","TID0032","ARN1000005","200000000000","3727********0624","A9123695","45890.533333333333","45890.257638888892","B20250821","SALE","AMEX","CREDIT","N","OMR","798.31","AED","7623.86","114.358","5.718","7503.7839999999997","99.11","DOMESTIC"
"ACQ","101","Test Aggregator","AGG001","12345004","204","Test Merchant 04","SID004","304","CMM304","Test Merchant 04 LLC","Test Merchant 04 - Manama","TID0041","ARN1000006","200000000000","4957********7485","A2187241","45762.113888888889","45761.347222222219","B20250414","SALE","VISA","PREPAID","N","OMR","442.95600000000002","AED","4230.2299999999996","63.453000000000003","3.173","4163.6040000000003","42.302","DOMESTIC"
"ACQ","101","Test Aggregator","AGG001","12345004","204","Test Merchant 04","SID004","304","CMM304","Test Merchant 04 LLC","Test Merchant 04 - Manama","TID0042","ARN1000007","200000000000","5171********1740","A3361194","45907.23541666667","45906.944444444445","B20250906","SALE","MASTERCARD","PREPAID","N","BHD","34.027999999999999","AED","331.77300000000002","4.9770000000000003","0","326.79599999999999","3.65","DOMESTIC"
"ACQ","101","Test Aggregator","AGG001","12345005","205","Test Merchant 05","SID005","305","CMM305","Test Merchant 05 LLC","Test Merchant 05 - Dubai","TID0051","ARN1000008","200000000000","3419********4377","A4766723","45681.253472222219","45680.376388888886","B20250123","SALE","AMEX","PREPAID","N","OMR","715.98699999999997","AED","6837.6760000000004","102.565","5.1280000000000001","6729.9830000000002","88.89","DOMESTIC"
"ACQ","101","Test Aggregator","AGG001","12345005","205","Test Merchant 05","SID005","305","CMM305","Test Merchant 05 LLC","Test Merchant 05 - Dubai","TID0052","ARN1000009","200000000000","4255********0915","A0017971","45885.036111111112","45884.249305555553","B20250815","REFUND","VISA","DEBIT","N","AED","1722.44","AED","1722.44","12.057","0.60299999999999998","1709.78","8.6120000000000001","DOMESTIC"
